educa,employ1,income2,medscost,carercvd,rrclass2,rrcognt2,rratwrk2,rrhcare3,lsatisfy
College 1 year to 3 years (Some college or technical school),Out of work for less than 1 year,"$75,000 or more",No,Very satisfied,White,Never,The same as other races,The same as other races,Very satisfied
College 4 years or more (College graduate),Employed for wages,"Less than $75,000",No,Somewhat satisfied,Black or African American,Never,The same as other races,The same as other races,Very satisfied
College 4 years or more (College graduate),Employed for wages,"Less than $75,000",No,Very satisfied,Black or African American,Never,The same as other races,The same as other races,Very satisfied
College 1 year to 3 years (Some college or technical school),Employed for wages,"Less than $75,000",Yes,Not at all satisfied,White,Never,The same as other races,"Worse than some races, better than others",Satisfied
Grade 12 or GED (High school graduate),Self-employed,"Less than $50,000",Yes,Very satisfied,Black or African American,Once a week,Worse than other races,The same as other races,Satisfied
College 1 year to 3 years (Some college or technical school),Employed for wages,"Less than $35,000",No,Somewhat satisfied,White,Constantly,The same as other races,The same as other races,Satisfied
College 4 years or more (College graduate),Employed for wages,"Less than $50,000",No,Somewhat satisfied,White,Never,The same as other races,The same as other races,Very satisfied
College 4 years or more (College graduate),Employed for wages,"Less than $50,000",No,Very satisfied,Black or African American,Never,The same as other races,The same as other races,Very satisfied
Grade 12 or GED (High school graduate),Self-employed,"Less than $50,000",No medication was prescribed,Very satisfied,Black or African American,Never,The same as other races,The same as other races,Satisfied
Grades 9 though 11 (Some high school),Employed for wages,"Less than $25,000",No,Very satisfied,Black or African American,Once a year,The same as other races,The same as other races,Satisfied
College 1 year to 3 years (Some college or technical school),Employed for wages,"$75,000 or more",No,Very satisfied,White,Never,The same as other races,The same as other races,Satisfied
College 4 years or more (College graduate),Employed for wages,"Less than $75,000",No,Very satisfied,White,Once a day,The same as other races,The same as other races,Satisfied
College 4 years or more (College graduate),Self-employed,"Less than $50,000",No,Very satisfied,White,Never,The same as other races,Better than other races,Dissatisfied
College 1 year to 3 years (Some college or technical school),Employed for wages,"$75,000 or more",No,Very satisfied,White,Never,The same as other races,The same as other races,Satisfied
Grade 12 or GED (High school graduate),Employed for wages,"Less than $25,000",No,Somewhat satisfied,White,Never,The same as other races,The same as other races,Satisfied
College 4 years or more (College graduate),Employed for wages,"Less than $75,000",No,Very satisfied,Black or African American,Never,The same as other races,The same as other races,Very satisfied
Grade 12 or GED (High school graduate),Self-employed,"Less than $50,000",No,Very satisfied,Black or African American,Never,The same as other races,The same as other races,Very satisfied
Grades 9 though 11 (Some high school),Employed for wages,"Less than $75,000",No,Somewhat satisfied,White,Never,The same as other races,The same as other races,Satisfied
Grade 12 or GED (High school graduate),Employed for wages,"$75,000 or more",No,Very satisfied,White,Once a week,The same as other races,The same as other races,Satisfied
College 1 year to 3 years (Some college or technical school),Employed for wages,"Less than $35,000",No,Somewhat satisfied,White,Never,The same as other races,The same as other races,Very satisfied
Grade 12 or GED (High school graduate),Employed for wages,"Less than $35,000",No,Somewhat satisfied,White,Never,The same as other races,The same as other races,Satisfied
College 4 years or more (College graduate),Employed for wages,"Less than $50,000",Yes,Somewhat satisfied,White,Never,The same as other races,The same as other races,Satisfied
Grade 12 or GED (High school graduate),Employed for wages,"Less than $75,000",No medication was prescribed,Very satisfied,White,Never,The same as other races,The same as other races,Very satisfied
Grades 1 through 8 (Elementary),Self-employed,"$75,000 or more",No,Very satisfied,White,Once a year,The same as other races,The same as other races,Satisfied
College 4 years or more (College graduate),Employed for wages,"Less than $75,000",No,Very satisfied,Black or African American,Once a month,The same as other races,The same as other races,Very satisfied
College 4 years or more (College graduate),Out of work for less than 1 year,"$75,000 or more",No,Very satisfied,White,Once a week,The same as other races,The same as other races,Very satisfied
College 4 years or more (College graduate),Employed for wages,"$75,000 or more",No,Very satisfied,White,Once a year,The same as other races,Better than other races,Satisfied
Grade 12 or GED (High school graduate),Employed for wages,"Less than $50,000",No,Very satisfied,White,Never,The same as other races,The same as other races,Very satisfied
College 4 years or more (College graduate),Employed for wages,"$75,000 or more",No,Somewhat satisfied,Black or African American,Once a week,The same as other races,The same as other races,Satisfied
College 1 year to 3 years (Some college or technical school),Employed for wages,"$75,000 or more",No,Very satisfied,White,Never,The same as other races,The same as other races,Very satisfied
Grade 12 or GED (High school graduate),Employed for wages,"Less than $20,000",No,Somewhat satisfied,White,Never,The same as other races,The same as other races,Satisfied
Grade 12 or GED (High school graduate),Employed for wages,"Less than $15,000",Yes,Somewhat satisfied,White,Never,The same as other races,The same as other races,Dissatisfied
College 1 year to 3 years (Some college or technical school),Employed for wages,"Less than $35,000",No,Somewhat satisfied,White,Once a month,The same as other races,Better than other races,Satisfied
College 4 years or more (College graduate),Employed for wages,"Less than $50,000",No,Very satisfied,Black or African American,Once a month,The same as other races,The same as other races,Satisfied
College 4 years or more (College graduate),Employed for wages,"$75,000 or more",No,Very satisfied,Black or African American,Once a month,Better than other races,The same as other races,Very satisfied
College 4 years or more (College graduate),Employed for wages,"Less than $25,000",No,Somewhat satisfied,White,Once a year,The same as other races,The same as other races,Satisfied
College 1 year to 3 years (Some college or technical school),Self-employed,"Less than $25,000",No,Very satisfied,White,Never,The same as other races,The same as other races,Very satisfied
College 1 year to 3 years (Some college or technical school),Employed for wages,"$75,000 or more",No,Very satisfied,White,Never,The same as other races,The same as other races,Satisfied
College 1 year to 3 years (Some college or technical school),Employed for wages,"Less than $25,000",Yes,Somewhat satisfied,White,Never,The same as other races,The same as other races,Dissatisfied
College 4 years or more (College graduate),Self-employed,"$75,000 or more",No,Very satisfied,White,Never,The same as other races,The same as other races,Very satisfied
College 4 years or more (College graduate),Employed for wages,"$75,000 or more",No,Very satisfied,White,Never,The same as other races,The same as other races,Very satisfied
College 1 year to 3 years (Some college or technical school),Employed for wages,"Less than $35,000",No,Somewhat satisfied,Black or African American,Once a year,The same as other races,The same as other races,Very satisfied
College 1 year to 3 years (Some college or technical school),Employed for wages,"Less than $75,000",No,Very satisfied,White,Once a week,The same as other races,Better than other races,Very satisfied
Grade 12 or GED (High school graduate),Employed for wages,"Less than $75,000",No,Somewhat satisfied,Black or African American,Constantly,Worse than other races,The same as other races,Satisfied
Grade 12 or GED (High school graduate),Employed for wages,"Less than $50,000",No,Very satisfied,Black or African American,Constantly,The same as other races,Better than other races,Very satisfied
College 4 years or more (College graduate),Employed for wages,"Less than $50,000",No,Somewhat satisfied,White,Once a week,The same as other races,Better than other races,Satisfied
Grade 12 or GED (High school graduate),Employed for wages,"Less than $35,000",No medication was prescribed,Very satisfied,White,Never,The same as other races,The same as other races,Satisfied
Grades 9 though 11 (Some high school),Self-employed,"Less than $15,000",No,Somewhat satisfied,White,Never,The same as other races,The same as other races,Very satisfied
College 1 year to 3 years (Some college or technical school),Out of work for less than 1 year,"Less than $35,000",No,Somewhat satisfied,White,Never,The same as other races,The same as other races,Satisfied
College 4 years or more (College graduate),Employed for wages,"Less than $35,000",Yes,Very satisfied,White,Once a month,The same as other races,The same as other races,Satisfied
College 4 years or more (College graduate),Employed for wages,"$75,000 or more",No,Very satisfied,Black or African American,Never,The same as other races,The same as other races,Satisfied
College 1 year to 3 years (Some college or technical school),Out of work for less than 1 year,"Less than $50,000",No,Somewhat satisfied,White,Never,The same as other races,The same as other races,Satisfied
College 4 years or more (College graduate),Employed for wages,"Less than $75,000",No,Very satisfied,Black or African American,Once a month,The same as other races,The same as other races,Very satisfied
Grade 12 or GED (High school graduate),Employed for wages,"$75,000 or more",No,Very satisfied,White,Never,The same as other races,The same as other races,Satisfied
College 1 year to 3 years (Some college or technical school),Employed for wages,"$75,000 or more",No,Very satisfied,White,Never,The same as other races,The same as other races,Very satisfied
Grade 12 or GED (High school graduate),Self-employed,"Less than $15,000",No medication was prescribed,Very satisfied,Black or African American,Never,Better than other races,The same as other races,Satisfied
College 1 year to 3 years (Some college or technical school),Employed for wages,"Less than $75,000",Yes,Somewhat satisfied,White,Once a week,The same as other races,The same as other races,Dissatisfied
Grade 12 or GED (High school graduate),Employed for wages,"Less than $75,000",No,Very satisfied,White,Once a month,The same as other races,The same as other races,Satisfied
College 4 years or more (College graduate),Employed for wages,"$75,000 or more",No,Very satisfied,White,Never,The same as other races,The same as other races,Very satisfied
Grade 12 or GED (High school graduate),Out of work for less than 1 year,"Less than $15,000",Yes,Not at all satisfied,White,Never,The same as other races,The same as other races,Satisfied
Grade 12 or GED (High school graduate),Employed for wages,"Less than $35,000",No,Very satisfied,White,Never,The same as other races,The same as other races,Very satisfied
College 4 years or more (College graduate),Employed for wages,"Less than $75,000",No medication was prescribed,Very satisfied,White,Never,The same as other races,The same as other races,Satisfied
College 4 years or more (College graduate),Self-employed,"$75,000 or more",No medication was prescribed,Somewhat satisfied,White,Never,The same as other races,The same as other races,Satisfied
College 4 years or more (College graduate),Employed for wages,"Less than $75,000",No,Not at all satisfied,White,Never,The same as other races,The same as other races,Very satisfied
College 4 years or more (College graduate),Employed for wages,"$75,000 or more",No,Somewhat satisfied,White,Once a day,The same as other races,The same as other races,Very satisfied
Grades 9 though 11 (Some high school),Self-employed,"Less than $20,000",No,Somewhat satisfied,White,Never,The same as other races,The same as other races,Satisfied
College 1 year to 3 years (Some college or technical school),Employed for wages,"Less than $50,000",No medication was prescribed,Very satisfied,White,Never,The same as other races,The same as other races,Satisfied
Grade 12 or GED (High school graduate),Employed for wages,"Less than $75,000",No,Somewhat satisfied,White,Never,The same as other races,The same as other races,Very satisfied
College 1 year to 3 years (Some college or technical school),Employed for wages,"$75,000 or more",No,Very satisfied,Black or African American,Never,The same as other races,The same as other races,Very satisfied
College 4 years or more (College graduate),Employed for wages,"Less than $75,000",No,Very satisfied,White,Never,The same as other races,The same as other races,Very satisfied
Grade 12 or GED (High school graduate),Self-employed,"Less than $50,000",No medication was prescribed,Very satisfied,White,Never,Better than other races,The same as other races,Satisfied
Grade 12 or GED (High school graduate),Employed for wages,"Less than $10,000",No,Very satisfied,Black or African American,Constantly,Worse than other races,The same as other races,Satisfied
Grades 9 though 11 (Some high school),Employed for wages,"Less than $25,000",No,Very satisfied,Black or African American,Never,Better than other races,Better than other races,Very satisfied
College 1 year to 3 years (Some college or technical school),Employed for wages,"Less than $50,000",No,Very satisfied,White,Never,The same as other races,The same as other races,Very satisfied
College 4 years or more (College graduate),Employed for wages,"Less than $50,000",No,Very satisfied,White,Never,The same as other races,The same as other races,Satisfied
College 4 years or more (College graduate),Employed for wages,"$75,000 or more",No medication was prescribed,Very satisfied,White,Once a year,The same as other races,The same as other races,Very satisfied
Grade 12 or GED (High school graduate),Self-employed,"Less than $50,000",No,Very satisfied,White,Never,The same as other races,The same as other races,Very satisfied
College 1 year to 3 years (Some college or technical school),Self-employed,"Less than $20,000",No,Not at all satisfied,Black or African American,Never,The same as other races,The same as other races,Satisfied
College 4 years or more (College graduate),Out of work for less than 1 year,"Less than $25,000",No,Not at all satisfied,Black or African American,Once a year,Worse than other races,Worse than other races,Satisfied
Grade 12 or GED (High school graduate),Self-employed,"Less than $35,000",No,Very satisfied,White,Never,The same as other races,The same as other races,Satisfied
College 4 years or more (College graduate),Employed for wages,"$75,000 or more",No,Very satisfied,White,Never,The same as other races,The same as other races,Satisfied
College 4 years or more (College graduate),Employed for wages,"Less than $15,000",No,Very satisfied,White,Once a week,The same as other races,The same as other races,Satisfied
Grade 12 or GED (High school graduate),Employed for wages,"Less than $10,000",No medication was prescribed,Very satisfied,Black or African American,Never,The same as other races,Better than other races,Satisfied
College 1 year to 3 years (Some college or technical school),Employed for wages,"Less than $35,000",No,Very satisfied,Black or African American,Never,The same as other races,The same as other races,Very satisfied
College 1 year to 3 years (Some college or technical school),Employed for wages,"$75,000 or more",No,Somewhat satisfied,White,Once a month,The same as other races,The same as other races,Satisfied
College 4 years or more (College graduate),Employed for wages,"Less than $75,000",No,Very satisfied,White,Once a day,Better than other races,The same as other races,Very satisfied
Grade 12 or GED (High school graduate),Employed for wages,"Less than $75,000",No,Very satisfied,Black or African American,Once a day,The same as other races,The same as other races,Satisfied
Grade 12 or GED (High school graduate),Self-employed,"Less than $75,000",No,Somewhat satisfied,White,Never,The same as other races,The same as other races,Very satisfied
College 1 year to 3 years (Some college or technical school),Employed for wages,"Less than $25,000",No,Somewhat satisfied,Black or African American,Never,Worse than other races,The same as other races,Satisfied
